Category,Sr. No,Name of Author1,Name of Author2,Name of Author 3,Title of Research,Journal name,ISSN No,Volume,Issue,Month,Year,Academic Year,Publishers,Pages,Indexing: scopus /WoS/Sci/UGC/other,DOI,Google drive link,"Credit point, 15/14/7/5",,Dept
Student Paper,87,A.R. Brahmecha,Sanket More,Nikita Nikam,Electricity Theft Detection System,"IJIRSET

",232067-10,8,6,March,2020,2019-20,"International Journal of Innovative Research in Science, Engineering and Technology",,,,View,,,Computer
Student Paper,88,A.R. Brahmecha,Miss Radhika Mor,Mr Nilesh Bhamare,Survey on Smart Traffic Management System,"IJIRCCE

",2320-9798,8,6,March,2020,2019-20,International Journal of Innovative Research in Computer and Communication Engineering,,,,View,,,Computer
Faculty Paper,89,A.R. Brahmecha,Nilesh Sharma,,"Mobile Based Drowsiness Detection System 

","IJREAM 
",2454-9150,,,May,2018,2017-18,International Conference in Recent Trends in Engineering & Technology,128-134,,,View,,,Computer
Faculty Paper,90,A.R. Brahmecha,Prof Dinesh Patil,,"Survey Paper on Online Payment System using Steganography and Visual Cryptography with Hidden Markov Model

",IJMTER,2349-9745,,,July,2015,2015-16,International Journal of Innovative Research in Computer and Communication Engineering,61-64,,,https://drive.google.com/file/d/1QAJE3ZTANwmswF99SqM7eUu0CNF7LMED/view?usp=sharing,,,Computer
Faculty Paper,91,A.R. Brahmecha,Prof Dinesh Patil,,"To Secure Online Payment System using Steganography and Visual Cryptography with Hidden Markov Model

",IJIRCCE,2320-9798,3,9,sept,2015,2015-16,IJIRCCE,61-66,,,View,,,Computer
Faculty Paper,92,A.R. Brahmecha,Sumit Patel,Anant Maind,"Speech Recognition of Windows Commands

",ICRTET 2013,0975-8887,-,-,Feb-13,2013,2012-13,ICRTET 2012-13,31,,,,,,Computer
Student Paper,93,A.R. Brahmecha,komal bagrecha,sneha chhajed,Android Application Using GPS Navigation,ICRTET 2011-12,2277-9477,-,-,March,2012,2012-13,ICRTET,84,,,,,,Computer
Faculty Paper,94,S.A. Chavan,,,Automatic Pothol Detection Notification,"IJREAM 
",2454-9150,,,May,2018,2017-18,International Conference in Recent Trends in Engineering & Technology,,,,,,,Computer
Student Paper,96,A.R. Brahmecha,Rakshanda Niphade,Kanchan Pongellu,Implementation of Fabric Fault Detection System,IJIRSET,232067-10,8,6,March,2020,2019-20,IJIRSET,,,,Click Here,,,Computer
Student Paper,97,P S Desai,"P.S. Desai, Aishwarya Ghate, Rutika Shinde, Poonam Jadhav, Pronoti Rohamare","P.S. Desai, Aishwarya Ghate, Rutika Shinde, Poonam Jadhav, Pronoti Rohamare",Survey on Intelligent Grain Storage Monitoring System,IJIRCCE International Journal,ISSN (Online): 2320 – 9801,,,,,2019-20,IJIRCCE International Journal,,,,,,,Computer
Student Paper,98,P S Desai,"P.S. Desai, Prasad Sadafal, Monika Kotkar , Kaveri Wankhoure , Rupali Shewale","P.S. Desai, Prasad Sadafal, Monika Kotkar , Kaveri Wankhoure , Rupali Shewale",Survey on Water Monitoring and Level and Leakage Detection,IJIRCCE International Journal,ISSN (Online): 2320 – 9801,,,,,2019-20,IJIRCCE International Journal,,,,,,,Computer
Student Paper,99,S.A. Chavan,"Vrushabh Wagajkar'Tushar Wadanere3, Maya VarheGayatri Kothawade","Vrushabh Wagajkar'Tushar Wadanere3, Maya VarheGayatri Kothawade","
 



""Review on Voice Based Email System for
Blind Peoples""",International Journal of Innovative Research in Computer and Communication Engineering(IJIRCCE),p-ISSN: 2320-9798 e-ISSN: 2320-9801,8,4,April,2020,2019-20,International Journal of Innovative Research in Computer and Communication Engineering(IJIRCCE),836-838,,-,Review on Voice Based Email System for Blind Peoples,,,Computer
Student Paper,100,S.A. Chavan,"Jawale Mansi 1, Shaikh Sharmeen2, Borse Harshada3, Torne Monali4, Chavan S.A.5","Jawale Mansi 1, Shaikh Sharmeen2, Borse Harshada3, Torne Monali4, Chavan S.A.5",Automated Student Attendance Management System using Face Recognition,International Research Journal of Engineering and Technology (IRJET),"e-ISSN: 2395-0056 
p-ISSN: 2395-0072",7,4,April,2020,2019-20,International Research Journal of Engineering and Technology (IRJET),4131-4137,,-,Link,,,Computer
Student Paper,101,S V Sinha,Payal Bhansali  Snehal Dhage Reshma Sapate,Payal Bhansali  Snehal Dhage Reshma Sapate,Mobile basedApplication for smart restaurant ordering system with recommendation,"Int.J.Computer Technology & Applications,",2229-6093,11,2,March,2020,2019-20,"Int.J.Computer Technology & Applications,",30-34,,-,Link,,,Computer
Student Paper,102,S V Sinha,"Rathi Viram, Bhagyashree Tayde , Aakshada Shinde","Rathi Viram, Bhagyashree Tayde , Aakshada Shinde",Placement prediction system using machine learning,International Journal of Creative Research Thoughts IJCRT,2320-2882,8,4,April,2020,2019-20,IJCRT,1507-1515,,,Link,,,Computer
Student Paper,103,P N Achaliya,"Chaitanya Hemant Malvatkar, Mayur Annasaheb Gaikwad","Sudershan Bhausaheb Aher, Hritik Dilip Ajmera",Review on Biometric Voting System,IJARESM - International Journal of All Research Education and Scientific Methods,2455-6211,10,5,May,2022,2021-22,IJARESM,1781-1784,,http://www.ijaresm.com/uploaded_files/document_file/Parag_Narendra_AchaliyaI5cO.pdf,,5,,Computer
Student Paper,104,P N Achaliya,"Nidhi Mohan Sharma, Arpita Ravindra Patil","Tanaya Dipak Chate, Pranali Chetan Kothari",Farm Fruit Safety Management System,IJARESM - International Journal of All Research Education and Scientific Methods,2455-6211,10,5,May,2021-22,2021-22,IJARESM,1848-1852,,http://www.ijaresm.com/uploaded_files/document_file/Prof.P_.NAchaliya_R8sd.pdf,,5,,Computer
Student Paper,105,P N Achaliya,"Akanksha Bhaskar Shewale, Ashwini Bhagwan Shinde","Ashwini Samadhan Shelar, Mayuri Sanjay Patil",Climate Monitoring in Warehouse for Grain Using IOT,IJARESM - International Journal of All Research Education and Scientific Methods,2455-6211,10,5,May,2021-22,2021-22,IJARESM,2132 - 2137,,http://www.ijaresm.com/uploaded_files/document_file/Parag_Narendra_Achaliya3jvm.pdf,,5,,Computer
Faculty Paper,106,K.M. Sanghavi,M. R. Sanghavi,"Archana Rajurkar, Professor , Department of Computer Science and Engineering, MGM COE, Nanded, India",Early stage detection of Downey and Powdery Mildew grape diseaseusing atmospheric parameters through sensor nodes,Artificial Intelligence in Agriculture,2589-7217,5,-,October,2021-22,2021-22,Artificial Intelligence in Agriculture,2589-7217,Scopus,,,,,Computer
Faculty Paper,107,R. R.Bhandari,"Dr. Khyati R. Nirmal, Assistant Professor, Department of Computer Engineering, SNJB COE, Chandwad, India",M. R. Sanghavi,Modified Mobility Aware MAC Algorithm to improve lifetime of Wireless Sensor Network,,,,,,2021-22,2021-22,,,,,,,,Computer
Student Paper,108,S.V.Sinha,Raksha Ahire,Neha Ghorpade,Petiole Analysis on Grapes Using Smart Automated System,IJARESM,ISSN: 2455-6211,10,5,May-22,2021-22,2021-22,IJARESM,ISSN: 2455-6211,,,,,,Computer
Student Paper,109,S.V.Sinha,"Bhavesh H Bachhav,","Pranav B Deore,",voice based obstacle notifier for blind people,ICRTET 2021,,,,15-16 November 2021,2021-22,2021-22,ICRTET 2021,,,,,,,Computer
Student Paper,110,N. S. Khairnar,"Prasad Bhausaheb Badwar,","Darshan Suresh Gajare ,",The Voice Assistant Robot,ICRTET 2021,ISBN : 978-93-92105-20-3,,,15-16 November 2021,2021-22,2021-22,,,,,,,,Computer
Faculty Paper,111,A.R. Brahmecha,A. J. Shakadwipi,,Enhancing damages and collapse alert system for bridges,ICRTET 2021,ISBN : 978-93-92105-20-3,,,15-16 November 2021,2021-22,2021-22,ICRTET 2021,,,,,,,Computer
Faculty Paper,112,M.D.Kawade,,,E-RTO using IoT and Android Application,ICRTET 2021,ISBN : 978-93-92105-20-3,,,15-16 November 2021,2021-22,2021-22,ICRTET 2021,,,,,,,Computer
Faculty Paper PHD,113,N P Bora,"D. Jain, 
Professor, Department of Computer Sciences and Engineering, Oriental University, Indore, India
",,SECURITY ISSUES IN BIOMETRIC 3D ANIMATED CAPTCHA,Web of Science (VIIRJ),,,,Oct-21,2021-22,2021-22,Web of Science (VIIRJ),,,,,,,Computer
Faculty Paper,114,N P Bora,"Pradyumna Mulchand BoraAsst. Prof, Department of Mechanical Engineering",P N Achaliya,Technology used in Online Shopping,ICRTET 2021,ISBN : 978-93-92105-20-3,,,"15,16 NOV 2021",2021-22,2021-22,ICRTET 2021,,,,,,,Computer
Student Paper,115,N P Bora," Kajal Dagade,UG Students, Department Of Computer Engineering, SNJB's College of Engineering, Chandwad, Maharashtra,
India","Pamul Mishra, UG Students, Department Of Computer Engineering, SNJB's College of Engineering, Chandwad, Maharashtra,
India",COLLEGE ONLINE ELECTION SYSTEM,International Research Journal of Engineering and Technology,,,,05-May-22,2021-22,2021-22,International Research Journal of Engineering and Technology,,,,,,,Computer
Faculty Paper,116,G. P. Dhomse,S. B. Ambhore,D. S. Rajnor,A Review Paper on Machine Learning Algorithm and their Application,ICRTET 2021,ISBN : 978-93-92105-20-3,,,"15,16 NOV 2021",2021-22,2021-22,ICRTET 2021,,,,,,,Computer
Faculty Paper,117,S.S. Wadnere,A.J. Shakdwipi,D.R.AGRAWAL,Identity fraud detection System Using machine learning Algorithm,ICRTET 2021,ISBN : 978-93-92105-20-3,,,15-16 November 2021,2021-22,2021-22,ICRTET 2021,,,,,,,Computer
Faculty Paper,118,B. A. Khivsara,M. R. Sanghavi,K.M. Sanghavi,"A Review on Big Data - Concept, Challenges, Tools, Applications and Future Scope",ICRTET 2021,ISBN : 978-93-92105-20-3,,,"15,16 NOV 2021",2021-22,2021-22,ICRTET 2021,,,,,,,Computer
Faculty Paper,119,D. S. Rajnor,S. B. Ambhore,G. P. Dhomse,Detection of perishable Apple,ICRTET 2021,ISBN : 978-93-92105-20-3,,,"15,16 NOV 2021",2021-22,2021-22,ICRTET 2021,,,,,,,Computer
Student Paper,120,B. A. Khivsara,Miss. Divya Wani,Miss. Riya Gandhi,NGO Item Donation Portal,JARESM,ISSN: 2455-6211,9,5,May-21,2020-21,2020-21,International Journal of All Research Education and Scientific Methods,1787-1790,UGC,,,,,
Student Paper,121,B. A. Khivsara,Sarthi Bhavsar,S V Sinha,Early Childhood Education in Rural India,JARESM,ISSN: 2455-6212,9,5,May-21,2020-22,2020-21,International Journal of All Research Education and Scientific Methods,1860-1866,UGC,,,,,
Student Paper,122,B. A. Khivsara,Samiksha Jain,Utkarsha Nikam,Stress Detection System Using IOT & ML,JARESM,ISSN: 2455-6213,9,5,May-21,2020-21,2020-21,International Journal of All Research Education and Scientific Methods,3370-3373,UGC,,,,,
Student Paper,123,G H Deshmukh,Sagar katkar,Ghotekar Aditya,Location based smart shop offer Notification System,International Journal of Recent Technology and Engineering (IJRTE),"e-ISSN: 2395-0056, p-ISSN: 2395-0072",,,,,2020-21,IRJET,,,,,,,
Student Paper,124,G H Deshmukh,Gunjan Baviskar,Amruta Kothari,Survey on Android App of Agricultureal Production Supply System,"International Journal of Innovative Research in Scince,Engineering and Technology(IJIRSET)","e-ISSN: 2319-8753, p-ISSN: 2320-6710",,,,,2020-21,IJIRSET,,,,,,,
Student Paper,125,G H Deshmukh,Smita Kasar,Alfiya Shaikh,Hand Gesture Recognition and voice Conversion for Deaf and Dump Using Hand Glove,"International Journal of Innovative Research in Scince,Engineering and Technology(IJIRSET)","e-ISSN: 2319-8753, p-ISSN: 2320-6710",,,,,2020-21,IJIRSET,,,,,,,
Student Paper,126,S. B. Ambhore,Kajal Pande,Sejal Kankariya,Share Market Prediction by using ML,Journal of Advancement in Parallel Computing,ISSN: 2582-4341,4,1,May-21,2020-21,2020-21,HERB,01-Mar,,,,,,
Student Paper,127,D. S. Rajnor,Mr. Krushna Shinde,Mr. Shubham Chavhan,AGRICULTURAL DRONE,International Research Journal of Engineering and Technology (IRJET),e-ISSN: 2395-0056,8,3,Mar-21,2020-21,2020-21,IRJET,536-538,,,,,,
Student Paper,128,A. J. Shakadwipi,Miss. Manashree P. Agarkar,"Mr. Anand M.
Ahluwalia",Smart Traffic Control System by Using Image Processing,IOSR Journal of Computer Engineering,2278-0661,22,6,Dec-20,2020-22,2020-21,IOSR,26-32,,,,,,
Student Paper,129,S V Sinha,Sarthi Bhavsar,B. A. Khivsara,Early Childhood Education in Rural India,International Journal of All Research Education and Scientific Methods,ISSN: 2455-6211,9,5,Dec-20,2020-23,2020-21,JARESM,1860-1866,,,,,,
Book Chapter,130,R. R.Bhandari,K. Rajashekhar,,"
Energy Efficient Routing based Clustering Approaches and Sleep Scheduling algorithm
for Network Lifetime Maximization in Sensor Network : A Survey
",Inventive Communication and Computational Technologies,9.78981E+12,,,January,2019-20,2019-20,Springer,293-306, ,,,,,
Book Chapter,131,S.A. Chavan,Dr.Nandini Choudhari,,Various Approaches for Video Inpainting: A Survey,IEEE Explore- Book Chapter,978-1-7281-4042-1,,,June,2019-20,2019-20,IEEE,5,,,,,,
Book Chapter,132,K.M. Sanghavi,Dr. Mrs. A.M. Rajuirkar,-,Early Detection of Grape Stem Borer Using IoT,Next Generation Advances in Intelligent Systems and Computing,"ISBN 978-981-15-4850-5 ISBN 978-981-15-4851-2 (eBook)
",,,June,2020,2019-20,Springer,203-212,Scopus,,https://books.google.co.in/books/about/Next_Generation_Information_Processing_S.html?id=7lvrDwAAQBAJ&redir_esc=y,,,
Book Chapter,133,R. R.Bhandari,,,Mobility-Aware Clustering Routing (MACRON) Algorithm for Lifetime Improvement of Extensive Dynamic Wireless Sensor Network,Advances in Intelligent Systems and Computing,Print: 978-981-33-6175-1,,,March,2021,2020-21,Springer,121-130,Scopus ,https://doi.org/10.1007/978-981-33-6176-8_13,,,,
Student Paper,134,Govinda Chastave,D. P. Pawar,,Survey on Farming Schedule and Reminding System ,ICRTET 21,ISBN : 978-93-92105-20-3,,,November,2021,2021-22,,,,,,,,
Student Paper,135,Pranav pipada,D. P. Pawar,,A Survey on Cold Storage Data Management System using App ,ICRTET 21,ISBN : 978-93-92105-20-3,,,November,2021,2021-22,,,,,,,,
